Area,Perim.,BX,BY,Width,Height,handaxe_number
3.823,7.825,0.742,0.463,1.92,2.742,4216
9.114,12.369,0.693,0.456,2.868,4.519,4230
10.695,13.219,0.366,0.356,3.202,4.519,4286
12.552,14.066,0.315,0.81,3.239,4.824,7191
1.76,5.366,0.128,0.133,1.486,1.729,7590
14.701,15.406,0.31,0.509,3.588,5.426,7744
5.691,9.921,0.492,1.135,2.238,3.532,7745
9.569,12.431,0.655,0.916,3.045,4.165,7746
25.381,20.748,1.44,2.182,4.349,7.656,7812
15.027,15.757,0.912,1.202,3.535,5.692,7815
13.186,14.678,0.941,0.965,3.331,5.396,7818
12.348,14.413,1.343,0.987,3.2,5.27,7909
15.134,16.211,1.532,1.484,3.287,6.08,7910
11.604,13.494,0.97,1.358,3.132,4.849,7924
11.545,13.844,0.422,0.647,3.164,4.645,7927
12.464,14.406,1.081,0.919,3.222,5.285,7938
7.476,11.234,0.674,0.844,2.744,4,7978
12.142,14.332,1.181,1.455,3.169,5.234,8175
11.729,13.665,0.858,0.96,3.074,4.839,8186
9.633,11.907,0.572,0.708,3.06,3.884,8429
13.251,14.82,0.756,0.895,3.379,5.091,8474
9.714,12.772,0.196,0.179,2.868,4.65,8490
7.686,10.99,1.862,3.646,2.57,3.995,8641
10.773,13.284,0.162,0.044,3.341,4.487,8647
2.56,6.505,0.247,0.31,1.542,2.327,9078
9.272,12.193,0.965,0.727,2.958,4.063,9443
10.481,12.763,0.858,0.965,3.161,4.257,9766
8.004,11.61,0.368,0.63,2.715,4.097,9805
19.087,17.89,1.818,2.303,3.821,6.526,10296
18.886,17.418,1.295,0.979,4.063,6.211,10351
7.052,12.078,1.847,2.458,2.289,4.897,10358
9.196,12.072,1.101,0.97,2.856,4.267,10486
6.929,10.857,1.275,0.902,2.356,4.044,10498
12.164,14.146,0.204,0.422,3.239,5.256,10978
5.866,9.532,0.616,0.613,2.383,3.246,11080
14.648,15.359,0.218,0.407,4.315,4.907,11697
3.147,7.043,0.495,0.504,1.881,2.289,11765
14.435,15.266,1.072,2.487,3.375,5.668,11819
4.124,8.172,0.296,0.635,2.167,2.739,12154
7.046,10.954,0.824,0.885,2.674,3.891,12184
18.558,17.837,0.882,0.693,3.762,6.434,12237
13.71,15.214,0.897,1.227,3.278,5.581,12361
18.98,18.037,0.558,1.079,4.24,6.189,12418
4.283,8.133,0.621,1.328,2.162,2.739,12724
4.101,8.268,0.79,1.202,2.116,2.679,12866
9.742,12.456,1.697,3.704,3.302,3.879,13128
4.576,8.382,0.819,1.033,2.192,2.822,13203
17.379,17.357,0.456,0.793,3.845,6.189,13435
8.419,11.762,0.623,0.553,2.65,4.238,13576
13.824,15,1.547,3.496,3.37,5.416,13725
14.367,15.397,1.552,1.198,3.472,5.406,13726
19.839,18.056,1.571,1.217,3.796,6.507,13803
13.106,14.753,1.513,3.404,3.176,5.455,13823
7.631,11.071,1.125,1.227,2.482,3.971,13850
13.419,14.804,1.062,0.856,3.474,5.249,30762
17.484,16.993,0.824,0.65,3.598,6.313,30853
7.093,11.348,0.948,1.139,2.601,3.937,30854
11.937,14.044,0.543,1.018,3.36,4.96,30855
13.891,15.405,1.6,3.409,3.375,5.59,30856
7.661,11.375,1.11,1.309,2.512,4.15,30857
15.802,16.032,1.566,3.171,3.753,5.707,30858
14.729,15.676,1.581,2.095,3.588,5.362,30859
6.926,10.579,1.033,1.576,2.439,3.879,30860
8.489,12.191,0.436,0.242,2.705,4.465,30861
12.598,14.519,1.702,3.539,3.093,5.411,30862
8.733,11.739,1.629,4.024,2.807,4.005,30863
11.291,13.949,1.765,3.375,2.987,5.217,30864
9.819,12.568,1.721,4.136,2.977,4.373,30865
12.622,14.666,1.493,3.394,3.452,5.27,30866
12.21,14.041,1.595,3.312,3.331,5.028,30867
5.35,9.843,0.744,1.008,2.116,3.481,30868
15.68,16.16,0.95,0.999,3.554,5.731,30869
10.273,12.998,1.566,3.496,2.967,4.572,30870
15.101,16.041,1.741,3.292,3.307,6.022,30871
5.884,9.879,0.63,0.684,2.279,3.573,30872
16.054,15.945,1.556,3.404,3.748,5.779,30873
