group,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,length
handaxe,69.47662,83.8708,87.03056,94.44736,92.53728,87.10422,82.65922,81.96326,73.29678,45.382,54.108,55.058,54.286,49.121,50.902,51.555,53.633,41.583,138.176
handaxe,45.23994,61.2521,67.23634,82.40268,94.30004,101.35108,97.56902,85.74532,56.99252,35.229,39.469,43.678,44.962,49.261,53.441,56.187,50.276,33.139,111.4044
handaxe,36.64712,51.04384,56.55056,60.95746,65.43802,62.20714,62.64656,61.50864,52.95138,13.392,20.976,29.252,36.235,40.177,42.464,45.203,44.691,41.411,89.3826
handaxe,37.71392,63.74892,72.4154,81.41208,79.90586,68.77812,57.28462,50.89652,36.06038,21.437,28.038,32.017,35.996,37.446,36.86,31.123,27.853,23.165,94.8182
handaxe,44.87418,63.2333,81.30032,88.75522,88.3158,86.84514,82.40268,74.50836,46.45152,43.692,59.494,66.92,67.956,68.302,68.863,64.675,67.006,59.278,117.6528
handaxe,18.21434,32.35198,42.92854,52.29098,53.4289,60.40628,60.51804,55.59552,38.37432,9.884,15.759,19.302,22.815,27.353,28.69,24.307,19.427,15.883,96.5708
handaxe,29.96438,42.2656,54.27472,63.9318,73.25868,78.87716,88.57234,79.97952,60.77458,41.026,37.155,35.894,33.433,30.702,29.052,27.221,22.179,13.385,91.3384
handaxe,14.17574,22.36216,32.35198,45.93844,60.66282,71.82612,81.8515,76.93152,62.42558,14.873,20.491,20.935,22.887,22.295,22.177,19.545,15.613,12.981,90.5256
handaxe,57.35828,65.36436,73.66254,82.1817,89.9668,86.80958,78.62062,66.9798,52.07,33.121,46.446,58.495,61.433,63.452,63.066,62.858,60.602,45.407,120.015
handaxe,41.391,60.348,84.174,97.217,95.826,92.087,92.783,80.522,64.217,24.978,33.203,41.688,47.576,50.346,55.498,51.818,51.299,40.476,192.93
handaxe,38.982,64.582,74.691,79.418,83.927,87.418,94.836,79.2,52.655,43.429,52.714,60.5,60.536,60.071,57.857,59.143,58.964,50.143,143.64
handaxe,55.865,75.263,96.015,104.474,113.759,115.977,105.263,75.038,69.925,50.945,59.636,67.527,72.109,67.2,67.127,63.927,64.836,56.473,162.86
handaxe,14.906,36.906,61.774,83.509,92.981,100.226,101.132,90.226,63.925,17.687,28.918,33.769,40,38.955,36.007,33.582,30.933,25.784,121.51
handaxe,37.331,66.09,77.82,89.361,88.684,87.218,84.211,75.865,61.617,16.854,29.476,39.625,47.678,54.869,56.255,56.03,62.921,63.521,143.95
handaxe,39.602,60.428,75.413,78.532,76.606,78.502,83.976,71.07,56.055,25.107,32.324,35.688,39.419,44.067,47.645,48.349,47.829,45.719,127.58
handaxe,26.917,57.218,65.902,84.436,89.774,86.767,77.744,70.263,63.308,43.158,48.346,46.316,45.113,45.263,44.962,45.639,41.579,33.008,127.82
handaxe,43.296,54.981,68.39,79.738,84.831,82.996,80.037,71.835,52.434,36.604,50.821,56.903,62.239,62.537,63.06,62.575,52.799,34.851,127.68
handaxe,55.431,90.388,106.638,131.552,143.103,143.836,123.405,98.793,72.629,24.262,40.533,50.574,55.902,62.09,61.598,59.18,55.246,37.049,177.89
handaxe,30.752,54.023,70.827,84.962,93.985,95.865,95.865,83.797,64.173,14.045,24.831,34.494,46.816,55.73,55.468,54.906,53.558,41.648,119.21
handaxe,59.023,81.165,89.962,95.414,99.135,98.985,99.023,84.699,67.481,25.899,40.216,45.468,48.849,50.504,48.849,45.899,43.022,34.388,156.2
handaxe,58.657,76.343,91.791,105.97,106.343,115.149,118.843,112.537,90.746,16.222,26.074,34.37,45.333,56.815,65.259,67.963,63.667,57.259,138.13
handaxe,40.225,51.76,59.738,64.27,68.989,70.936,72.434,73.109,67.79,33.034,53.783,53.633,53.708,59.176,59.625,57.828,51.086,41.049,106.89
