 ,Label,BX,BY,Width,Height
50,Boxgrove_Iovita_200a.tif,0,0,1.603,2.52
1,Boxgrove_Iovita_201a.tif,0,0,1.712,2.954
2,Boxgrove_Iovita_202a.tif,0,0,1.759,2.596
3,Boxgrove_Iovita_203a.tif,0,0,1.173,1.886
4,Boxgrove_Iovita_204a.tif,0,0,1.765,2.769
5,Boxgrove_Iovita_205a.tif,0,0,1.603,2.3
6,Boxgrove_Iovita_206a.tif,0,0,1.435,2.035
1,Boxgrove_Iovita_207a.tif,0,0,1.401,2.027
2,Boxgrove_Iovita_208a.tif,0,0,1.553,2.378
3,Boxgrove_Iovita_209a.tif,0,0,0.945,1.373
4,Boxgrove_Iovita_210a.tif,0,0,1.5,2.358
5,Boxgrove_Iovita_211a.tif,0,0,1.666,2.6
6,Boxgrove_Iovita_212a.tif,0,0,1.536,2.302
7,Boxgrove_Iovita_213a.tif,0,0,1.567,2.358
8,Boxgrove_Iovita_214a.tif,0,0,1.012,1.654
9,Boxgrove_Iovita_215a.tif,0,0,1.932,3.17
10,Boxgrove_Iovita_216a.tif,0,0,1.748,2.623
11,Boxgrove_Iovita_217a.tif,0,0,1.47,2.005
12,Boxgrove_Iovita_218a.tif,0,0,1.817,2.728
13,Boxgrove_Iovita_219a.tif,0,0,1.377,2.114
14,Boxgrove_Iovita_220a.tif,0,0,1.857,2.812
1,Boxgrove_Iovita_221a.tif,0,0,1.538,2.399
2,Boxgrove_Iovita_222a.tif,0,0,1.298,1.821
3,Boxgrove_Iovita_223a.tif,0,0,1.835,2.859
4,Boxgrove_Iovita_224a.tif,0,0,1.839,2.786
5,Boxgrove_Iovita_225a.tif,0,0,1.966,3.21
6,Boxgrove_Iovita_226a.tif,0,0,1.331,2.013
7,Boxgrove_Iovita_227a.tif,0,0,1.444,2.015
8,Boxgrove_Iovita_228a.tif,0,0,1.819,2.784
9,Boxgrove_Iovita_229a.tif,0,0,1.27,1.7
10,Boxgrove_Iovita_230a.tif,0,0,1.472,2.296
11,Boxgrove_Iovita_231a.tif,0,0,1.734,2.96
12,Boxgrove_Iovita_232a.tif,0,0,1.91,2.883
13,Boxgrove_Iovita_233a.tif,0,0,1.706,2.483
14,Boxgrove_Iovita_234a.tif,0,0,1.617,2.588
15,Boxgrove_Iovita_235a.tif,0,0,1.884,3.03
16,Boxgrove_Iovita_236a.tif,0,0,0.993,1.464
17,Boxgrove_Iovita_237a.tif,0,0,1.733,2.332
18,Boxgrove_Iovita_238a.tif,0,0,1.506,2.433
19,Boxgrove_Iovita_239a.tif,0,0,1.333,1.94
20,Boxgrove_Iovita_240a.tif,0,0,1.587,2.493
21,Boxgrove_Iovita_241a.tif,0,0,1.072,1.741
22,Boxgrove_Iovita_242a.tif,0,0,1.197,1.896
23,Boxgrove_Iovita_243a.tif,0,0,1.262,1.912
24,Boxgrove_Iovita_244a.tif,0,0,1.906,2.98
25,Boxgrove_Iovita_245a.tif,0,0,1.294,1.904
26,Boxgrove_Iovita_246a.tif,0,0,1.615,2.552
27,Boxgrove_Iovita_247a.tif,0,0,2.073,3.224
28,Boxgrove_Iovita_248a.tif,0,0,1.195,1.654
29,Boxgrove_Iovita_249a.tif,0,0,1.072,1.981
30,Boxgrove_Iovita_250a.tif,0,0,1.623,2.366
1,Boxgrove_Iovita_251a.tif,0,0,1.931,2.907
2,Boxgrove_Iovita_252a.tif,0,0,1.732,2.613
3,Boxgrove_Iovita_253a.tif,0,0,1.595,2.429
4,Boxgrove_Iovita_254a.tif,0,0,1.133,1.827
5,Boxgrove_Iovita_255a.tif,0,0,1.547,2.429
6,Boxgrove_Iovita_256a.tif,0,0,1.304,1.906
7,Boxgrove_Iovita_257a.tif,0,0,1.407,2.069
8,Boxgrove_Iovita_258a.tif,0,0,1.989,2.714
9,Boxgrove_Iovita_259a.tif,0,0,1.779,2.794
10,Boxgrove_Iovita_260a.tif,0,0,1.591,2.37
11,Boxgrove_Iovita_261a.tif,0,0,1.217,1.898
12,Boxgrove_Iovita_262a.tif,0,0,1.641,2.818
13,Boxgrove_Iovita_263a.tif,0,0,1.001,1.557
14,Boxgrove_Iovita_264a.tif,0,0,1.926,3.079
15,Boxgrove_Iovita_265a.tif,0,0,1.742,2.764
16,Boxgrove_Iovita_266a.tif,0,0,1.486,2.516
17,Boxgrove_Iovita_267a.tif,0,0,1.538,2.283
18,Boxgrove_Iovita_268a.tif,0,0,1.145,1.876
19,Boxgrove_Iovita_269a.tif,0,0,1.359,2.136
20,Boxgrove_Iovita_270a.tif,0,0,1.641,2.598
21,Boxgrove_Iovita_271a.tif,0,0,1.494,2.247
22,Boxgrove_Iovita_272a.tif,0,0,1.421,2.14
23,Boxgrove_Iovita_273a.tif,0,0,0.919,1.29
24,Boxgrove_Iovita_274a.tif,0,0,1.815,3.047
25,Boxgrove_Iovita_275a.tif,0,0,1.769,2.772
26,Boxgrove_Iovita_276a.tif,0,0,1.771,2.502
27,Boxgrove_Iovita_277a.tif,0,0,1.789,2.821
28,Boxgrove_Iovita_278a.tif,0,0,1.67,2.158
29,Boxgrove_Iovita_279a.tif,0,0,1.674,2.562
30,Boxgrove_Iovita_280a.tif,0,0,1.331,1.874
31,Boxgrove_Iovita_281a.tif,0,0,1.916,2.923
32,Boxgrove_Iovita_282a.tif,0,0,1.736,2.784
33,Boxgrove_Iovita_283a.tif,0,0,1.694,2.199
34,Boxgrove_Iovita_284a.tif,0,0,1.28,1.815
35,Boxgrove_Iovita_285a.tif,0,0,1.084,1.371
36,Boxgrove_Iovita_286a.tif,0,0,1.49,2.673
37,Boxgrove_Iovita_287a.tif,0,0,2.005,2.915
38,Boxgrove_Iovita_288a.tif,0,0,1.522,2.433
39,Boxgrove_Iovita_289a.tif,0,0,2.005,3.033
40,Boxgrove_Iovita_290a.tif,0,0,1.742,2.835
41,Boxgrove_Iovita_291a.tif,0,0,1.593,2.54
42,Boxgrove_Iovita_292a.tif,0,0,1.177,1.815
43,Boxgrove_Iovita_293a.tif,0,0,1.074,1.754
44,Boxgrove_Iovita_294a.tif,0,0,1.971,2.964
45,Boxgrove_Iovita_295a.tif,0,0,1.807,2.568
46,Boxgrove_Iovita_296a.tif,0,0,1.545,2.302
47,Boxgrove_Iovita_297a.tif,0,0,1.448,2.318
48,Boxgrove_Iovita_298a.tif,0,0,0.868,1.125
49,Boxgrove_Iovita_299a.tif,0,0,1.516,1.672
50,Boxgrove_Iovita_300a.tif,0,0,1.914,3.531
1,Boxgrove_Iovita_301a.tif,0,0,1.845,2.79
2,Boxgrove_Iovita_302a.tif,0,0,1.282,1.757
3,Boxgrove_Iovita_303a.tif,0,0,1.387,2.023
4,Boxgrove_Iovita_304a.tif,0,0,1.272,1.785
5,Boxgrove_Iovita_305a.tif,0,0,1.167,1.958
6,Boxgrove_Iovita_306a.tif,0,0,1.674,2.582
7,Boxgrove_Iovita_307a.tif,0,0,2.021,3.335
8,Boxgrove_Iovita_308a.tif,0,0,1.254,1.839
9,Boxgrove_Iovita_309a.tif,0,0,1.508,1.912
10,Boxgrove_Iovita_310a.tif,0,0,1.831,2.748
11,Boxgrove_Iovita_311a.tif,0,0,1.654,2.429
12,Boxgrove_Iovita_312a.tif,0,0,1.302,1.983
13,Boxgrove_Iovita_313a.tif,0,0,1.688,2.221
14,Boxgrove_Iovita_314a.tif,0,0,1.603,2.645
15,Boxgrove_Iovita_315a.tif,0,0,1.892,3.085
16,Boxgrove_Iovita_316a.tif,0,0,1.75,2.641
17,Boxgrove_Iovita_317a.tif,0,0,0.963,1.698
18,Boxgrove_Iovita_318a.tif,0,0,1.605,2.166
19,Boxgrove_Iovita_319a.tif,0,0,1.577,2.451
20,Boxgrove_Iovita_320a.tif,0,0,1.704,2.796
21,Boxgrove_Iovita_321a.tif,0,0,1.278,1.997
22,Boxgrove_Iovita_322a.tif,0,0,1.73,2.558
23,Boxgrove_Iovita_323a.tif,0,0,1.528,2.617
24,Boxgrove_Iovita_324a.tif,0,0,1.456,2.405
25,Boxgrove_Iovita_325a.tif,0,0,1.631,2.42
26,Boxgrove_Iovita_326a.tif,0,0,1.744,2.823
1,Boxgrove_Iovita_327a.tif,0,0,1.726,2.546
2,Boxgrove_Iovita_328a.tif,0,0,1.692,2.806
3,Boxgrove_Iovita_329a.tif,0,0,1.627,2.841
4,Boxgrove_Iovita_330a.tif,0,0,1.526,1.702
5,Boxgrove_Iovita_331a.tif,0,0,1.252,1.757
6,Boxgrove_Iovita_332a.tif,0,0,2.257,3.311
7,Boxgrove_Iovita_333a.tif,0,0,1.92,3
8,Boxgrove_Iovita_334a.tif,0,0,1.726,2.687
9,Boxgrove_Iovita_335a.tif,0,0,1.32,1.868
10,Boxgrove_Iovita_336a.tif,0,0,1.946,3.081
11,Boxgrove_Iovita_337a.tif,0,0,1.328,2.076
12,Boxgrove_Iovita_338a.tif,0,0,1.668,2.467
13,Boxgrove_Iovita_339a.tif,0,0,1.682,2.647
14,Boxgrove_Iovita_340a.tif,0,0,1.779,2.758
15,Boxgrove_Iovita_341a.tif,0,0,1.431,1.761
16,Boxgrove_Iovita_342a.tif,0,0,1.082,1.438
17,Boxgrove_Iovita_343a.tif,0,0,1.506,2.281
18,Boxgrove_Iovita_344a.tif,0,0,1.803,3.073
19,Boxgrove_Iovita_345a.tif,0,0,1.686,2.637
20,Boxgrove_Iovita_346a.tif,0,0,1.985,3.253
21,Boxgrove_Iovita_347a.tif,0,0,1.742,2.778
22,Boxgrove_Iovita_348a.tif,0,0,1.757,3.039
23,Boxgrove_Iovita_349a.tif,0,0,1.577,2.049
24,Boxgrove_Iovita_350a.tif,0,0,1.373,2.215
1,Boxgrove_Iovita_351a.tif,0,0,1.605,2.461
2,Boxgrove_Iovita_352a.tif,0,0,2.048,3.172
3,Boxgrove_Iovita_353a.tif,0,0,2.037,3.739
4,Boxgrove_Iovita_354a.tif,0,0,1.734,2.489
5,Boxgrove_Iovita_355a.tif,0,0,1.656,2.332
6,Boxgrove_Iovita_356a.tif,0,0,1.789,2.923
7,Boxgrove_Iovita_357a.tif,0,0,1.888,3.721
8,Boxgrove_Iovita_358a.tif,0,0,1.395,2.306
9,Boxgrove_Iovita_359a.tif,0,0,1.872,2.96
10,Boxgrove_Iovita_360a.tif,0,0,1.904,2.77
11,Boxgrove_Iovita_361a.tif,0,0,1.87,3.111
12,Boxgrove_Iovita_362a.tif,0,0,1.456,2.215
13,Boxgrove_Iovita_363a.tif,0,0,1.179,1.813
14,Boxgrove_Iovita_364a.tif,0,0,1.383,2.334
15,Boxgrove_Iovita_365a.tif,0,0,1.593,2.362
16,Boxgrove_Iovita_366a.tif,0,0,1.431,2.318
17,Boxgrove_Iovita_367a.tif,0,0,1.894,2.758
18,Boxgrove_Iovita_368a.tif,0,0,1.49,2.269
19,Boxgrove_Iovita_369a.tif,0,0,1.302,2.043
20,Boxgrove_Iovita_370a.tif,0,0,1.805,2.863
21,Boxgrove_Iovita_371a.tif,0,0,1.49,2.288
22,Boxgrove_Iovita_372a.tif,0,0,1.585,2.279
23,Boxgrove_Iovita_373a.tif,0,0,2.283,3.773
24,Boxgrove_Iovita_374a.tif,0,0,2.207,3.755
25,Boxgrove_Iovita_375a.tif,0,0,2.037,3.228
26,Boxgrove_Iovita_376a.tif,0,0,1.175,1.851
